Wind_Farm,,Common_name,Name,Number,EPBC_Status,FFG_Status,Bioregional_conservation_status,Type,Report_Table_Num,Potential_Impact,Potential_Impact_Significance,Notes
Greater Gippsland,,Plains Grassy Woodland / Gilgai Wetland Mosaic,EVC259,10.55,,,Endangered,Modeled EVC,5,,,
Greater Gippsland,,Lowland Forest / Heathy Woodland Mosaic,EVC698,397.34,,,Vulnerable,Modeled EVC,5,,,
Greater Gippsland,,Total,,"5,293.25",,,,Modeled EVC,5,,,
Greater Gippsland,,Coastal Moonah,,,,,Threatened,TECs,12,,,
Greater Gippsland,,Central Gippsland Plains,,,,,Threatened,TECs,12,,,
Greater Gippsland,,Cool Temperate Rainforest Community,,,,,Threatened,TECs,12,,,
Greater Gippsland,,Forest Red Gum Grassy Woodland Community,,,,,Threatened,TECs,12,,,
Greater Gippsland,,Herb-rich Plains Grassy Wetland (West Gippsland) Community,,,,,Threatened,TECs,12,,,
Greater Gippsland,,Plains Grassland (South Gippsland) Community,,,,,Threatened,TECs,12,,,
Greater Gippsland,,Sedge Rich Eucalyptus camphora Swamp Community,,,,,Threatened,TECs,12,,,
Southern Winds,,Damp Sands Herb-rich Woodland,EVC03,"2,508.60",,,Vulnerable,Modeled EVC,5,,,
Southern Winds,,Coastal Sand Heathland,EVC05,32.74,,,Rare,Modeled EVC,5,,,
Southern Winds,,Sand Heathland,EVC06,89.42,,,Rare,Modeled EVC,5,,,
Southern Winds,,Estuarine Wetland,EVC10,19.49,,,Endangered,Modeled EVC,5,,,
Southern Winds,,Lowland Forest,EVC16,"7,257.46",,,Least Concern,Modeled EVC,5,,,
Southern Winds,,Herb-rich Foothill Forest,EVC23,"4,436.69",,,Vulnerable,Modeled EVC,5,,,
Southern Winds,,Heathy Woodland,EVC48,"1,169.72",,,Least Concern,Modeled EVC,5,,,
Southern Winds,,Swamp Scrub,EVC53,175.81,,,Vulnerable and Endangered,Modeled EVC,5,,,
Southern Winds,,Plains Grassland,EVC132,4.75,,,Endangered,Modeled EVC,5,,,
Southern Winds,,Coastal Dune Scrub,EVC160,"1,295.01",,,Least Concern,Modeled EVC,5,,,
Southern Winds,,Coastal Headland Scrub,EVC161,605.33,,,Vulnerable and Endangered,Modeled EVC,5,,,
Southern Winds,,Sedgy Riparian Woodland,EVC198,0.52,,,Vulnerable,Modeled EVC,5,,,
Southern Winds,,Shallow Freshwater Marsh,EVC200,59.65,,,Endangered,Modeled EVC,5,,,
Southern Winds,,Healthy Woodland/Damp Healthy Woodland/Damp Heathland Mosaic,EVC650,3472.62,,,Vulnerable,Modeled EVC,5,,,
Southern Winds,,Plains Swampy Woodland,EVC651,7.08,,,Endangered,Modeled EVC,5,,,
Southern Winds,,Limestone Ridge Woodland,EVC664 ,4.9,,,Vulnerable,Modeled EVC,5,,,
Southern Winds,,Freshwater Meadow,EVC680,57.35,,,Endangered,Modeled EVC,5,,,
Southern Winds,,Deep Freshwater Marsh,EVC681,219.73,,,Vulnerable and Endangered,Modeled EVC,5,,,
Southern Winds,,Permanent Open Freshwater,EVC682,70.71,,,N/A,Modeled EVC,5,,,
Southern Winds,,Permanent Saline,EVC684,17.09,,,N/A,Modeled EVC,5,,,
Southern Winds,,Damp Sands Herb-rich Woodland/Damp Heathland/Damp Heathy Woodland Mosiac,EVC713,982.13,,,Vulnerable,Modeled EVC,5,,,
Southern Winds,,Damp Heathland/Damp Heathy Woodland Mosiac,EVC746,459.37,,,Depleted and Vulnerable,Modeled EVC,5,,,
Southern Winds,,Damp Heathland/Sand Heathland Mosaic,EVC762,97.22,,,Depleted,Modeled EVC,5,,,
Southern Winds,,Coastal Landfill/Sand Accretion,EVC797,36.58,,,N/A,Modeled EVC,5,,,
Southern Winds,,Coastal Alkaline Scrub,EVC858,"7,762.69",,,Endangered and Least Concern,Modeled EVC,5,,,
Southern Winds,,Spray-zone Coastal Shrubland,EVC876,101.85,,,Rare and Endangered,Modeled EVC,5,,,
Southern Winds,,Total,Total,"30,944.51",,,,Modeled EVC,5,,,
Southern Winds,,River Swamp Wallaby-grass,Amphibromus fluitans,,VU,,,Threatened Flora,6,Likely,,
Southern Winds,,Limestone Spidereorchid,Caladenia calcicola,,VU,Cr,,Threatened Flora,6,,,
Southern Winds,,ColourfuI Spider-orchid,Caladenia colorata,,EN,Cr,,Threatened Flora,6,Likely,,
Southern Winds,,Mellblom's Spider-orchid,Caladenia hastata,,EN,Cr,,Threatened Flora,6,Likely,,
Southern Winds,,Ornate Pink-fingers,Caladenia omata,,VU,E,,Threatened Flora,6,Likely,,
Southern Winds,,Wrinkled Cassinia,Cassinia rugata,,VU,Cr,,Threatened Flora,6,Likely,,
Southern Winds,,Clover Glycine,Glycine Iatrobeana,,VU,v,,Threatened Flora,6,Likely,,
Southern Winds,,Coast Ixodia,Ixodia achillaeoides subsp. arenicola,,VU,,,Threatened Flora,6,Likely,,
Southern Winds,,Maroon Leek-orchid,Prasophyllum frenchii,,EN,e,,Threatened Flora,6,Likely,,
Southern Winds,,Dense Leek-orchid,Prasophyllum spicatum,,VU,cr,,Threatened Flora,6,Likely,,
Southern Winds,,Green-striped Greenhood,Pterostylis chlorogramma,,VU,e,,Threatened Flora,6,Likely,,
Southern Winds,,Leafy Greenhood,Pterostylis cucullata subsp. cucullata,,VU,,,Threatened Flora,6,Likely,,
Southern Winds,,Swamp Greenhood,Pterostylis tenuissima,,VU,,,Threatened Flora,6,Likely,,
Southern Winds,,Swamp Fireweed,Senecio psilocarpus,,VU,,,Threatened Flora,6,Likely,,
Southern Winds,,Coast Dandelion,Taraxacum cygnorum,,VU,Cr,,Threatened Flora,6,Likely,,
Southern Winds,,Metallic Sun-orchid,Thelymitra epipactoides,,EN,E,,Threatened Flora,6,Likely,,
Southern Winds,,Swamp Everlasting,Xerochrysum palustre,,VU,Cr,,Threatened Flora,6,,,
Southern Winds,,Broad-leaf Prickly Moses,Acacia verticillata subsp. ruscifolia,,,E,,Threatened Flora,6,,,
Southern Winds,,Coast Ground-berry,Acrotriche cordata,,,E,,Threatened Flora,6,,,
Southern Winds,,Coast Biter-bush,Adriana quadripartita,,,E,,Threatened Flora,6,,,
Southern Winds,,Silver Everlasting,Argenfipallium dealbatum,,,E,,Threatened Flora,6,,,
Southern Winds,,Glistening Saltbush,Atriplex billardierei,,,x,,Threatened Flora,6,,,
Southern Winds,,Neat Spear-grass,Austrostipa mundula,,,E,,Threatened Flora,6,,,
Southern Winds,,Velvet Apple-berry,Billardiera scandens s.s.,,,E,,Threatened Flora,6,,,
Southern Winds,,Hairy Boronia,Boronia pilosa subsp. torquata,,,E,,Threatened Flora,6,,,
Southern Winds,,Winy Bossiaea,Bossiaea cordigera,,,E,,Threatened Flora,6,,,
Southern Winds,,Lizard Orchid,Burnettia cuneata,,,E,,Threatened Flora,6,,,
Southern Winds,,Limestone Ridge Spide-orchid,Caladenia bicalliata subsp. bicalliata,,,E,,Threatened Flora,6,Likely,,
Southern Winds,,Christrnas Spider-orchid,Caladenia flavovirens,,,Cr,,Threatened Flora,6,,,
Southern Winds,,Scented Spider-orchid,Caladenia fragrantissima,,,Cr,,Threatened Flora,6,,,
Southern Winds,,Robust Spider-orchid,Caladenia valida,,,Cr,,Threatened Flora,6,,,
Southern Winds,,Large White Spider-orchid,Caladenia venusta,,,E,,Threatened Flora,6,,,
Southern Winds,,Slender Pink-fingers,Caladenia vulgaris,,,V,,Threatened Flora,6,,,
Southern Winds,,Forest Bitter-cress,Cardamine papillata,,,E,,Threatened Flora,6,,,
Southern Winds,,Curly Sedge,Carex tasmanica,,,E,,Threatened Flora,6,,,
Southern Winds,,Leafy Twig-sedge,Cladium procerum,,,E,,Threatened Flora,6,,,
Southern Winds,,Coast Colobanth,Colobanthus apetalus var. apetalus,,,E,,Threatened Flora,6,,,
Southern Winds,,Pale Swamp Everlasting,Coronidium gunnianum,,,Cr,,Threatened Flora,6,,,
Southern Winds,,Velvet White Correa,Correa alba var. pannosa,,,E,,Threatened Flora,6,,,
Southern Winds,,Tiny Midge-orchid,Corunastylis nuda,,,V,,Threatened Flora,6,,,
Southern Winds,,Coast Helmet-orchid,Corybas despectans,,,E,,Threatened Flora,6,,,
Southern Winds,,Late Helmet-orchid,Corybas sp. aff diemenicus (Coastal),,,Cr,,Threatened Flora,6,,,
Southern Winds,,Spotted Hyacinth-orchid,Dipodium pardalinum,,,E,,Threatened Flora,6,,,
Southern Winds,,Swamp Diuris,Diuns palustris,,,E,,Threatened Flora,6,,,
Southern Winds,,Coast Gum,Eucalyptus diversifolia subsp. megacarpa,,,V,,Threatened Flora,6,,,
Southern Winds,,Westem Peppermint,Eucalyptus falciformis,,,V,,Threatened Flora,6,,,
Southern Winds,,Bog Gum,Eucalyptus kitsoniana,,,Cr,,Threatened Flora,6,,,
Southern Winds,,Apple Jack,Eucalyptus splendens,,,cr,,Threatened Flora,6,,,
Southern Winds,,Coast Ballart,Exocarpos syrticola,,,e,,Threatened Flora,6,,,
Southern Winds,,Tight Bedstraw,Galium cutvihidum,,,v,,Threatened Flora,6,,,
Southern Winds,,Westem Goldern-tip,Goodia medicagnea,,,e,,Threatened Flora,6,,,
Southern Winds,,Silky Golden-tip,Goodia pubescens,,,e,,Threatened Flora,6,,,
Southern Winds,,Dwarf Brooklime,Gratiola pumilo,,,e,,Threatened Flora,6,,,
Southern Winds,,Small-flower Grevillea,Grevillea micrantha,,,cr,,Threatened Flora,6,,,
Southern Winds,,Eichler's Raspwort,Haloragis eichleri,,,v,,Threatened Flora,6,,,
Southern Winds,,Prickly Raspwort,Haloragis myriocarpa,,,e,,Threatened Flora,6,,,
Southern Winds,,Pale Guinea-tower,Hibbertia pallidiflora,,,e,,Threatened Flora,6,,,
Southern Winds,,Tufted Club-sedge,Isolepis wakefieldiana,,,e,,Threatened Flora,6,,,
Southern Winds,,Rough Blowngrass,Lachnagrostis rudis subsp. rudis,,,e,,Threatened Flora,6,,,
Southern Winds,,Drooping Velvet-bush,Lasiopetalum schulzenii,,,cr,,Threatened Flora,6,,,
Southern Winds,,Hoary Rapier-secoe,Lepidosperma canescens,,,e,,Threatened Flora,6,,,
Southern Winds,,Shiny Tea-tree,Leptospermum turbinatum,,,e,,Threatened Flora,6,,,
Southern Winds,,Slender Stylewort,Levenhookia sondeh,,,e,,Threatened Flora,6,,,
Southern Winds,,Showy Lobelia,Lobelia beaugleholei,,,v,,Threatened Flora,6,,,
Southern Winds,,Oval-leaf Logania,Logania ovata,,,e,,Threatened Flora,6,,,
Southern Winds,,Lax Twig-sedge,Machaerina laxa,,,e,,Threatened Flora,6,,,
Southern Winds,,Salt Paperbark,Melaleuca halmaturorum,,,e,,Threatened Flora,6,,,
Southern Winds,,Hairy Shepherd's Purse,Microlepidium pilosulum,,,cr,,Threatened Flora,6,,,
Southern Winds,,Swamp Onion-orchid,Mcrotis orbicularis,,,e,,Threatened Flora,6,,,
Southern Winds,,Coastal Lignum,Muehlenbeckia gunnii,,,e,,Threatened Flora,6,,,
Southern Winds,,Rough Daisy-bush,Olearia asterotricha,,,e,,Threatened Flora,6,,,
Southern Winds,,Lax Marsh-flower,Omdufia umbricola var. umbricola,,,e,,Threatened Flora,6,,,
Southern Winds,,Moming Flag,Orthrosanthus multfloms,,,e,,Threatened Flora,6,,,
Southern Winds,,Forked Rice-flower,Pirnelea hewardiana,,,e,,Threatened Flora,6,,,
Southern Winds,,Lime Fem,Pneumatopteris pennigera,,,e,,Threatened Flora,6,,,
Southern Winds,,Coast Fescue,Poa billardierei,,,e,,Threatened Flora,6,,,
Southern Winds,,Scaly Poa,Poa fax,,,e,,Threatened Flora,6,,,
Southern Winds,,Dwarf Coast Poa,Poa halmaturina,,,e,,Threatened Flora,6,,,
Southern Winds,,Dune Poa,Poa poiformis var. ramifer,,,e,,Threatened Flora,6,,,
Southern Winds,,Coastal Leek-orchid,Prasophyllum litorale,,,cr,,Threatened Flora,6,,,
Southern Winds,,Long-tongue Shell-orchid,Pterostylis dolichochila,,,cr,,Threatened Flora,6,,,
Southern Winds,,Small Sickle Greenhood,Pterosylis lustra,,,e,,Threatened Flora,6,,,
Southern Winds,,Coast Bush-pea,Pultenaea canaliculata,,,e,,Threatened Flora,6,,,
Southern Winds,,Otway Bush-pea,Pultenaea prolifera,,,e,,Threatened Flora,6,,,
Southern Winds,,Coast Twin-leaf,Roepera billardierei,,,e,,Threatened Flora,6,,,
Southern Winds,,Coast Saltwort,Salsola tragus subsp. pontica,,,e,,Threatened Flora,6,,,
Southern Winds,,Dune Fan-flower,Scaevola calendulacea,,,e,,Threatened Flora,6,,,
Southern Winds,,Wiry Bog-sedge,Schoenus carsei,,,e,,Threatened Flora,6,,,
Southern Winds,,Small Bog-sedge,Schoenus defomis,,,v,,Threatened Flora,6,,,
Southern Winds,,Branching Scale-rush,Sporadanthus tasmanicus,,,e,,Threatened Flora,6,,,
Southern Winds,,Clustered Lily,Thelionema umbellatum,,,v,,Threatened Flora,6,,,
Southern Winds,,Blotched Sun-orchid,Thelymitra benthamiana,,,e,,Threatened Flora,6,,,
Southern Winds,,Winter Sun-orchid,Thelymitra hiemalis,,,cr,,Threatened Flora,6,,,
Southern Winds,,Inflated Sun-orchid,Thelymitra inflata,,,e,,Threatened Flora,6,,,
Southern Winds,,Coast Speedwell,Veronica hillebrandii,,,e,,Threatened Flora,6,,,
Southern Winds,,Tiny Violet,Viola siebenana s.s.,,,E,,Threatened Flora,6,,,
Southern Winds,,One-flower Eary Nancy,Wurmbea unifiora,,,V,,Threatened Flora,6,,,
Southern Winds,,Parsley Xanthosia,Xanthosia leiophylla,,,E,,Threatened Flora,6,,,
Southern Winds,,Southem Xanthosia,Xanthosia tasmanica,,,E,,Threatened Flora,6,,,
Southern Winds,,Red-tailed Black-Cockatoo (south-eastern),Calyptorhynchus banksii,,,EN,e,Threatened terrestrial and shorebird species,7,Unlikely,,
Southern Winds,,Gang-gang Cockatoo,Callocephalon fimbriatum,,EN,,,Threatened terrestrial and shorebird species,7,Unlikely,,
Southern Winds,,Orange-bellied Parrot,Neophema chrysogaster,,CR,cr,,Threatened terrestrial and shorebird species,7,Likely,,
Southern Winds,,Swift Parrot,Lathamus discolor,,CR,cr,,Threatened terrestrial and shorebird species,7,Likely,,
Southern Winds,,White-throated Needletail,Hirundapus caudacutus,,"VU, Migratory",V,,Threatened terrestrial and shorebird species,7,Likely,,
Southern Winds,,Grey Goshawk,Accipiter novaehollandiae,,,e,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Little Eagle,Hieraaetus morphnoides,,,v,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,White—bellied,Haliaeetus leucogaster,,,e,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Black Falcon,Falco subniger,,,cr,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Barking Owl,Ninox connivens,,,cr,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Powerful Owl,Ninox strenua,,,V,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Masked Owl,Tyto novaehollandiae,,,cr,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Ground Parrot,Pezoporus wallicus,,,e,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Chestnut-rumped Heathwmen,Calamanthus pyrrhopygius,,,v,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Diamond Firetail,Stagonopleura guttata,,,v,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Rufous Bristlebird (Coorong),Dasyomis broadbenti broadbenti,,,e,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Australian Painted-snipe,Rostratula australis,,EN,cr,,Threatened terrestrial and shorebird species,7,Unlikely,,
Southern Winds,,Australasian Bittern,Botaurus poiciloptilus,,EN,cr,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Australian Fairy Tern,Sternula nereis nereis,,VU,,,Threatened terrestrial and shorebird species,7,Unlikely,,
Southern Winds,,Bar-tailed Godwit (baueri),Limosa lapponica baueri,,"VU, Migratory",,,Threatened terrestrial and shorebird species,7,Unlikely,,
Southern Winds,,Hooded Plover,Thinornis cucullatus,,VU,v,,Threatened terrestrial and shorebird species,7,Unlikely,,
Southern Winds,,Eastern Curlew,Numenius madagascariensis,,"CR, Migratory",cr,,Threatened terrestrial and shorebird species,7,Unlikely,Not Significant,
Southern Winds,,Curlew Sandpiper,Calidris ferruginea,,"CR, Migratory",cr,,Threatened terrestrial and shorebird species,7,Unlikely,,
Southern Winds,,Red Knot,Calidris canutus,,"EN, Migratory",e,,Threatened terrestrial and shorebird species,7,Unlikely,,
Southern Winds,,Great Knot,Calidris tenuirostris,,"CR, Migratory",cr,,Threatened terrestrial and shorebird species,7,Unlikely,,
Southern Winds,,Lewin's Rail,Lewinia pectoralis,,,V,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Broga,Antigone rubicunda,,,e,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Little Egret,Egretta garzetta,,,c,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Eastem Great Egret,Ardea alba modesta,,,V,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Australian Little Bittern,Ixobrychus dubius,,,e,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Magpie Goose,Anseranas semipalmata,,,v,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Australasian Shoveler,Spatula rhynchotis,,,v,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Freckled Duck,Stictonetta naevosa,,,e,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Hardhead,Aythya australis,,,V,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Blue-billed Duck,Oxyura australis,,,V,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Musk Dusk,Biziura lobata,,,v,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Australian Gull-billed Tern,Gelochelidon macrotarsa,,,e,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Caspian Tern,Hydroprogne caspia,,Migratory,v,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Little Tern,Sternula albifrons,,Migratory,cr,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Ruddy Turnstone,Arenaria interpres,,Migratory,e,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Grey Plover,Pluvialis squatarola,,Migratory,V,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Pacific Golden Plover,Pluvialis fulva,,Migratory,V,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Whimbrel,Numenius phaeopus,,Migratory,e,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Wood Sandpiper,Tringa glareola,,Migratory,e,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Grey-tailed Tattler,Tringa brevipes,,Migratory,cr,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Common Sandpiper,Actitis hypoleucos,,Migratory,V,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Common Greenshank,Tringa nebularia,,Migratory,e,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Marsh Sandpiper,Tringa stagnatilis,,Migratory,e,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Terek Sandpiper,Xenus cinereus,,Migratory,e,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Black-tailed Godwit,Limosa limosa,,Migratory,cr,,Threatened terrestrial and shorebird species,7,,,
Southern Winds,,Spot-tailed Quoll,Dasyurus maculatus maculatus (SE mainland population),,EN,e,,Threatened non-avian terrestrial and freshwater faun,8,Likely,,
Southern Winds,,Swamp Antechinus,Antechinus minimus maritimus,,VU,V,,Threatened non-avian terrestrial and freshwater faun,8,Likely,,
Southern Winds,,Long-nosed Potoroo,Potorous tridactylus trisulcatus,,VU,V,,Threatened non-avian terrestrial and freshwater faun,8,Likely,,
Southern Winds,,Heath Mouse,Pseudomys shortridgei,,EN,e,,Threatened non-avian terrestrial and freshwater faun,8,Likely,,
Southern Winds,,Southem Brown Bandicoot,Isoodon obesulus obesulus,,EN,e,,Threatened non-avian terrestrial and freshwater faun,8,Likely,,
Southern Winds,,Grey-headed Flying-fox,Pteropus poliocephalus,,VU,v,,Threatened non-avian terrestrial and freshwater faun,8,Likely,,
Southern Winds,,Southem Bent-winged Bat (southem SSP.),Miniopterus orianae bassanii,,CR,cr,,Threatened non-avian terrestrial and freshwater faun,8,Likely,,
Southern Winds,,Growling Grass Frog,Litoria raniformis,,VU,v,,Threatened non-avian terrestrial and freshwater faun,8,Likely,,
Southern Winds,,Australian Grayling,Prototroctes maraena,,VU,e,,Threatened non-avian terrestrial and freshwater faun,8,Unlikely,,
Southern Winds,,Dwarf Galaxias,Galaxiella pusilla,,VU,e,,Threatened non-avian terrestrial and freshwater faun,8,Unlikely,,
Southern Winds,,Yarra Pygmy Perch,Nannoperca obscura,,VU,v,,Threatened non-avian terrestrial and freshwater faun,8,Unlikely,,
Southern Winds,,Variegated Pygmy Perch,Nannoperca variegata,,VU,e,,Threatened non-avian terrestrial and freshwater faun,8,Unlikely,,
Southern Winds,,Glenelg Spiny Crayfish,Euastacus bispinosus,,EN,e,,Threatened non-avian terrestrial and freshwater faun,8,Unlikely,,
Southern Winds,,White-footed Dunnart,Sminthopsis leucopus,,,v,,Threatened non-avian terrestrial and freshwater faun,8,,,
Southern Winds,,Platypus,Omithorhynchus anatinus,,,v,,Threatened non-avian terrestrial and freshwater faun,8,,,
Southern Winds,,Striped Worm-Lizard,Aprasia striolata,,,e,,Threatened non-avian terrestrial and freshwater faun,8,,,
Southern Winds,,Bearded Dragon,Pogona barbata,,,v,,Threatened non-avian terrestrial and freshwater faun,8,,,
Southern Winds,,Swamp Skink,Lissolepis coventryi,,,e,,Threatened non-avian terrestrial and freshwater faun,8,,,
Southern Winds,,Southem Toadlet,Pseudophryne semimarmorata,,,e,,Threatened non-avian terrestrial and freshwater faun,8,,,
Southern Winds,,Little Galaxias,Glaxiella toourtkoourt,,,e,,Threatened non-avian terrestrial and freshwater faun,8,,,
Southern Winds,,Ancient Greenling Damselfly,Hemiphlebia mirabilis,,,e,,Threatened non-avian terrestrial and freshwater faun,8,,,
Southern Winds,,Southem Hooded Shrimp,Athanopsis australis,,,e,,Threatened non-avian terrestrial and freshwater faun,8,,,
Southern Winds,,Portland Burrowing Crayfish,Engaeus strictifrons,,,e,,Threatened non-avian terrestrial and freshwater faun,8,,,
Southern Winds,,Hairy Burrowing Crayfish,Engaeus sericatus,,,v,,Threatened non-avian terrestrial and freshwater faun,8,,,
Southern Winds,,Fairy Prion (southern),Pachyptila turtur subantarctica,,VU,,,Threatened seabird species,9,Likely,,
Southern Winds,,Soft-plumaged Petrel,Pterodroma mollis,,VU,,,Threatened seabird species,9,Likely,,
Southern Winds,,Gould's Petrel,Pterodroma leucoptera,,EN,,,Threatened seabird species,9,Likely,,
Southern Winds,,Blue Petrel,Halobaena caerulea,,VU,,,Threatened seabird species,9,Likely,,
Southern Winds,,Wandering Albatross,Diomedea exulans,,"VU, Migratory",cr,,Threatened seabird species,9,Likely,,
Southern Winds,,Black-browed Albatross,Thalassarche melanophris,,"VU, Migratory",,,Threatened seabird species,9,Likely,,
Southern Winds,,Indian Yellow-nosed Albatross,Thalassarche carteri,,"VU, Migratory",e,,Threatened seabird species,9,Likely,,
Southern Winds,,Grey-headed Albatross,Thalassarche chrysostoma,,"EN, Migratory",e,,Threatened seabird species,9,Likely,,
Southern Winds,,Shy Albatross,Thalassarche cauta,,"EN, Migratory",e,,Threatened seabird species,9,Likely,,
Southern Winds,,Sooty Albatross,Phoebetria fusca,,"VU, Migratory",cr,,Threatened seabird species,9,Likely,,
Southern Winds,,Southern Giant-Petrel,Macronectes giganteus,,"EN, Migratory",e,,Threatened seabird species,9,Likely,,
Southern Winds,,Buller's Albatross,Thalassarche bulleri,,"W, Migratory",e,,Threatened seabird species,9,Likely,,
Southern Winds,,Northern Giant-Petrel,Macronectes halli,,"VU, Migratory",e,,Threatened seabird species,9,Likely,,
Southern Winds,,Southern Royal Albatross,Diomedea epomophora,,"W, Migratory",cr,,Threatened seabird species,9,Likely,,
Southern Winds,,White-capped Albatross,Thalassarche steadi,,"VU, Migratory",,,Threatened seabird species,9,Likely,,
Southern Winds,,White-faced Storm-Petrel,Pelagodroma marina,,,e,,Threatened seabird species,9,,,
Southern Winds,,Light-mantled Sooty Albatross,Phoebetria palpebrata,,Migratory,Cr,,Threatened seabird species,9,,,
Southern Winds,,Long-nosed fur-seal,Arctocephalus forsteri,,Marine,v,,Marine Fauna,10,,,
Southern Winds,,Australian fur seal,Arctocephalus pusillus,,Marine,,,Marine Fauna,10,,,
Southern Winds,,Sei Whale,Balaenoptera borealis,,"VU, Migratory",,,Marine Fauna,10,,,
Southern Winds,,Blue Whale,Balaenoptera musculus,,"EN, Migratory",cr,,Marine Fauna,10,,,
Southern Winds,,Fin Whale,Balaenoptera physalus,,"VU, Migratory",,,Marine Fauna,10,,,
Southern Winds,,Pygmy right whale,Caperea marginata,,Migratory,,,Marine Fauna,10,,,
Southern Winds,,Southem Right Whale,Eubalaena australis,,"EN, Migratory",cr,,Marine Fauna,10,,,
Southern Winds,,Humpback Whale,Megaptera novaeangliae,,Migratory,v,,Marine Fauna,10,,,
Southern Winds,,Killer Whale,Orcinus orca,,Migratory,,,Marine Fauna,10,,,
Southern Winds,,Australian Sea Lion,Neophoca cinerea,,EN,e,,Marine Fauna,10,,,
Southern Winds,,Dusky Dolphin,Lagenorhynchus obscurus,,Migratory,,,Marine Fauna,10,,,
Southern Winds,,Sperm Whale,Physeter macrocephalus,,Migratory,,,Marine Fauna,10,,,
Southern Winds,,Loggerhead Turtle,Caretta caretta,,"EN, Migratory",,,Marine Fauna,10,,,
Southern Winds,,Green Turtle,Chelonia mydas,,"VU, Mgratory",,,Marine Fauna,10,,,
Southern Winds,,Leatherback Turtle,Dermochelys coriacea,,"EN, Mgratory",cr,,Marine Fauna,10,,,
Southern Winds,,Shortfin mako,Isurus oxyrinchus,,Migratory,,,Marine Fauna,10,,,
Southern Winds,,Australian grayling,Prototroctes maraena,,VU,e,,Marine Fauna,10,Unlikely,,
Southern Winds,,White shark,Carcharodon carcharias,,"VU, Mgratory",e,,Marine Fauna,10,,,
Southern Winds,,Grey nurse shark,Carcharias taurus,,,cr,,Marine Fauna,10,,,
Southern Winds,,Porbeagle,Lamna nasus,,Migratory,,,Marine Fauna,10,,,
Southern Winds,,Eastern dwarf galaxias,Galaxiella pusilla,,VU,e,,Marine Fauna,10,,,
Southern Winds,,Yarra pygmy Perch,Nannoperca obscura,,VU,,,Marine Fauna,10,,,
Southern Winds,,School shark,Galeorhinus galeus,,CD,,,Marine Fauna,10,,,
Southern Winds,,Blue warehou,Seriolella brama,,CD,cd,,Marine Fauna,10,,,
Southern Winds,,Southern bluefin tuna,Thunnus maccoyii,,CD,cd,,Marine Fauna,10,,,
Southern Winds,,Upside down fish,Heraldia noctuma,,Marine,,,Marine Fauna,10,,,
Southern Winds,,Big bellied seahorse,Hippcampus abdominalis,,Marine,,,Marine Fauna,10,,,
Southern Winds,,Short-headed seahorse,Hippocampus breviceps,,Marine,,,Marine Fauna,10,,,
Southern Winds,,Crested pipefish,Hlstiogamphelus briggsii,,Marine,,,Marine Fauna,10,,,
Southern Winds,,Rhino Ppefish,Histiogampehlus cristatus,,Marine,,,Marine Fauna,10,,,
Southern Winds,,Deepbody pipefish,Kaupus costatus,,Marine,,,Marine Fauna,10,,,
Southern Winds,,Brushtail pipefish,Leptiochthys fistularius,,Marine,,,Marine Fauna,10,,,
Southern Winds,,Australian smooth pipefish,Lissocampus caudalis,,Marine,,,Marine Fauna,10,,,
